bus,direction,training_point_index,termination_status,primal_status,objective,bustype,output_idx,nn_output,pf_output,solve_time,n_iter,nvar,ncon,jacobian_nnz,hessian_nnz
12,lower,2,LOCALLY_SOLVED,FEASIBLE_POINT,0.16971230371011356,1,42,0.9716272950172424,0.9000000087907883,7.893886089324951,15,902,1131,30714,24237
13,lower,2,LOCALLY_SOLVED,FEASIBLE_POINT,0.12370248501397402,1,44,0.960429847240448,0.8999999658298582,5.207601070404053,10,902,1131,30714,24237
14,lower,2,LOCALLY_SOLVED,FEASIBLE_POINT,0.16686813926059138,1,46,0.9522126913070679,0.9000000001773107,7.437248945236206,14,902,1131,30714,24237
4,lower,3,LOCALLY_SOLVED,FEASIBLE_POINT,0.22767929073877313,1,30,0.9431561827659607,0.899999998348195,7.446016073226929,14,902,1131,30714,24237
5,lower,3,LOCALLY_SOLVED,FEASIBLE_POINT,0.22007307980067678,1,32,0.9399999976158142,0.8999999998060971,9.856033086776733,19,902,1131,30714,24237
7,lower,3,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,,1,34,,,21.938209056854248,43,902,1131,30714,24237
9,lower,3,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,,1,36,,,22.62406611442566,44,902,1131,30714,24237
10,lower,3,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,,1,38,,,19.78105592727661,38,902,1131,30714,24237
11,lower,3,LOCALLY_SOLVED,FEASIBLE_POINT,0.28939929769646333,1,40,0.9669541716575623,0.900000006001809,7.169546842575073,14,902,1131,30714,24237
12,lower,3,LOCALLY_SOLVED,FEASIBLE_POINT,0.12576558799011564,1,42,0.964916467666626,0.8999999637187439,5.817980051040649,11,902,1131,30714,24237
13,lower,3,LOCALLY_SOLVED,FEASIBLE_POINT,0.3484135806919668,1,44,0.9739728569984436,0.9000000085594544,8.017193078994751,15,902,1131,30714,24237
14,lower,3,LOCALLY_SOLVED,FEASIBLE_POINT,0.12863550487922076,1,46,0.9451899528503418,0.8999999777792079,6.31630277633667,12,902,1131,30714,24237
4,lower,4,ITERATION_LIMIT,INFEASIBLE_POINT,,1,30,,,263.7252881526947,500,902,1131,30714,24237
5,lower,4,ITERATION_LIMIT,INFEASIBLE_POINT,,1,32,,,266.0011899471283,500,902,1131,30714,24237
7,lower,4,LOCALLY_SOLVED,FEASIBLE_POINT,0.3622550257399445,1,34,0.9586504697799683,0.9000000002044838,7.35414719581604,14,902,1131,30714,24237
9,lower,4,LOCALLY_SOLVED,FEASIBLE_POINT,0.2618073901940524,1,36,0.9529374241828918,0.8999999940900668,7.498470067977905,14,902,1131,30714,24237
10,lower,4,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,,1,38,,,158.71559405326843,288,902,1131,30714,24237
11,lower,4,LOCALLY_SOLVED,FEASIBLE_POINT,0.14985522995784303,1,40,0.9567782878875732,0.9000000029327964,7.399683952331543,14,902,1131,30714,24237
12,lower,4,LOCALLY_SOLVED,FEASIBLE_POINT,0.08302405395043683,1,42,0.944338858127594,0.8999999627281884,5.979567050933838,11,902,1131,30714,24237
13,lower,4,LOCALLY_SOLVED,FEASIBLE_POINT,0.13738427534605538,1,44,0.9671337008476257,0.8999999659295653,7.4676549434661865,14,902,1131,30714,24237
14,lower,4,LOCALLY_SOLVED,FEASIBLE_POINT,0.16003716646452795,1,46,0.9519326090812683,0.8999999998682593,7.478631973266602,14,902,1131,30714,24237
4,lower,5,ALMOST_LOCALLY_SOLVED,NEARLY_FEASIBLE_POINT,0.5389629042247844,1,30,0.9398230910301208,0.9000065073190412,14.364015102386475,26,902,1131,30714,24237
5,lower,5,LOCALLY_SOLVED,FEASIBLE_POINT,0.41109267419364043,1,32,0.9408571124076843,0.8999999995221509,25.80770182609558,49,902,1131,30714,24237
7,lower,5,LOCALLY_SOLVED,FEASIBLE_POINT,0.7467433159635244,1,34,0.9613717198371887,0.9000000043888436,8.413011074066162,16,902,1131,30714,24237
9,lower,5,LOCALLY_SOLVED,FEASIBLE_POINT,0.5812656948719847,1,36,0.9521507620811462,0.9000000007194089,9.38762903213501,18,902,1131,30714,24237
10,lower,5,ALMOST_LOCALLY_SOLVED,NEARLY_FEASIBLE_POINT,0.3990723484862549,1,38,0.9399999976158142,0.9000000021729526,50.357704162597656,94,902,1131,30714,24237
11,lower,5,LOCALLY_SOLVED,FEASIBLE_POINT,0.3251310982394588,1,40,0.9488037824630737,0.9000000029397829,22.080817937850952,42,902,1131,30714,24237
12,lower,5,LOCALLY_SOLVED,FEASIBLE_POINT,0.23844139277300785,1,42,0.9693104028701782,0.8999999641632623,14.882184982299805,29,902,1131,30714,24237
13,lower,5,LOCALLY_SOLVED,FEASIBLE_POINT,0.27544393889166563,1,44,0.9663029313087463,0.9000000075706629,16.463452100753784,31,902,1131,30714,24237
14,lower,5,LOCALLY_SOLVED,FEASIBLE_POINT,0.2931914673584911,1,46,0.940398097038269,0.8999999997481666,18.396392107009888,34,902,1131,30714,24237
4,lower,6,ALMOST_LOCALLY_SOLVED,NEARLY_FEASIBLE_POINT,0.2607928767077857,1,30,0.9400001168251038,0.8999999983054178,14.8994460105896,27,902,1131,30714,24237
5,lower,6,ALMOST_LOCALLY_SOLVED,NEARLY_FEASIBLE_POINT,0.22585248539755462,1,32,0.9399998784065247,0.900000000235383,38.07226300239563,69,902,1131,30714,24237
7,lower,6,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,,1,34,,,23.584292888641357,45,902,1131,30714,24237
9,lower,6,LOCALLY_SOLVED,FEASIBLE_POINT,0.4939930508152936,1,36,0.9687129259109497,0.900000004815034,8.368613004684448,16,902,1131,30714,24237
10,lower,6,LOCALLY_SOLVED,FEASIBLE_POINT,0.26087151511204215,1,38,0.9546726942062378,0.8999999970129455,6.9476470947265625,13,902,1131,30714,24237
11,lower,6,LOCALLY_SOLVED,FEASIBLE_POINT,0.2056250648663546,1,40,0.9588674902915955,0.9000000032013253,6.968041896820068,13,902,1131,30714,24237
12,lower,6,LOCALLY_SOLVED,FEASIBLE_POINT,0.082528366995719,1,42,0.9428959488868713,0.8999999627049152,5.410827875137329,10,902,1131,30714,24237
13,lower,6,LOCALLY_SOLVED,FEASIBLE_POINT,0.13762822585260182,1,44,0.9660233855247498,0.8999999659157275,7.431977033615112,14,902,1131,30714,24237
14,lower,6,LOCALLY_SOLVED,FEASIBLE_POINT,0.3783764023327621,1,46,0.9665239453315735,0.9000000043860212,8.93481993675232,17,902,1131,30714,24237
4,lower,7,LOCALLY_SOLVED,FEASIBLE_POINT,0.5068027587768206,1,30,0.9425138831138611,0.9000000010865973,12.709765911102295,24,902,1131,30714,24237
5,lower,7,ALMOST_LOCALLY_SOLVED,NEARLY_FEASIBLE_POINT,0.5479606882705099,1,32,0.9399999380111694,0.9000000024475707,49.121511936187744,86,902,1131,30714,24237
7,lower,7,LOCALLY_SOLVED,FEASIBLE_POINT,0.826392945019591,1,34,0.9665520787239075,0.9000000044711227,8.94255781173706,17,902,1131,30714,24237
9,lower,7,LOCALLY_SOLVED,FEASIBLE_POINT,0.625455989525107,1,36,0.9565925002098083,0.9000000009051718,7.949954986572266,15,902,1131,30714,24237
10,lower,7,ITERATION_LIMIT,INFEASIBLE_POINT,,1,38,,,300.2179639339447,500,902,1131,30714,24237
11,lower,7,ITERATION_LIMIT,INFEASIBLE_POINT,,1,40,,,276.53094005584717,500,902,1131,30714,24237
12,lower,7,LOCALLY_SOLVED,FEASIBLE_POINT,0.22450479858815836,1,42,0.9629594683647156,0.8999999638440894,19.657298803329468,37,902,1131,30714,24237
13,lower,7,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,,1,44,,,22.833621978759766,46,902,1131,30714,24237
14,lower,7,LOCALLY_SOLVED,FEASIBLE_POINT,0.3720935399914293,1,46,0.9448801875114441,0.8999999998279897,20.229289054870605,39,902,1131,30714,24237
4,lower,8,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,,1,30,,,23.675909996032715,47,902,1131,30714,24237
5,lower,8,ITERATION_LIMIT,INFEASIBLE_POINT,,1,32,,,258.4315838813782,500,902,1131,30714,24237
7,lower,8,LOCALLY_SOLVED,FEASIBLE_POINT,0.19042168488272043,1,34,0.940542995929718,0.8999999964501508,7.23245906829834,14,902,1131,30714,24237
9,lower,8,ALMOST_LOCALLY_SOLVED,NEARLY_FEASIBLE_POINT,0.17371082547694913,1,36,0.9399999976158142,0.8999999876920449,24.74272322654724,48,902,1131,30714,24237
10,lower,8,ITERATION_LIMIT,INFEASIBLE_POINT,,1,38,,,264.0861990451813,500,902,1131,30714,24237
11,lower,8,ITERATION_LIMIT,INFEASIBLE_POINT,,1,40,,,261.05858087539673,500,902,1131,30714,24237
12,lower,8,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,,1,42,,,18.21184515953064,36,902,1131,30714,24237
13,lower,8,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,,1,44,,,20.463664054870605,41,902,1131,30714,24237
14,lower,8,ALMOST_LOCALLY_SOLVED,NEARLY_FEASIBLE_POINT,0.1698990625421577,1,46,0.9400001168251038,0.8999999822458453,21.073243856430054,40,902,1131,30714,24237
4,lower,9,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,,1,30,,,19.91640305519104,40,902,1131,30714,24237
5,lower,9,ITERATION_LIMIT,INFEASIBLE_POINT,,1,32,,,304.6585319042206,500,902,1131,30714,24237
7,lower,9,LOCALLY_SOLVED,FEASIBLE_POINT,0.611276558587694,1,34,0.9572041630744934,0.8999999997072536,7.25826096534729,14,902,1131,30714,24237
9,lower,9,LOCALLY_SOLVED,FEASIBLE_POINT,0.4789756872828518,1,36,0.9509376287460327,0.8999999935034857,9.122745037078857,18,902,1131,30714,24237
10,lower,9,LOCALLY_SOLVED,FEASIBLE_POINT,0.2318825280233874,1,38,0.954720139503479,0.8999999812442695,14.867018938064575,29,902,1131,30714,24237
11,lower,9,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,,1,40,,,44.881619930267334,87,902,1131,30714,24237
12,lower,9,ITERATION_LIMIT,INFEASIBLE_POINT,,1,42,,,257.7828938961029,500,902,1131,30714,24237
13,lower,9,LOCALLY_SOLVED,FEASIBLE_POINT,0.22735627522460272,1,44,0.967202365398407,0.8999999645103741,8.902871131896973,18,902,1131,30714,24237
14,lower,9,LOCALLY_SOLVED,FEASIBLE_POINT,0.26941445110908785,1,46,0.963722825050354,0.8999999994284388,8.49580693244934,17,902,1131,30714,24237
